id;reference_number;or_date;qty_ordered;qty_recieved;manufacturing_date;expiry_date;qty_approved;qty_rejected
1;Steel;2023-10-15T22:52:42;43859;50924;2023-10-15T05:53:43;2023-10-15T23:43:45;55191;40807
2;brand;2023-10-16T02:40:58;28171;74604;2023-10-15T12:59:50;2023-10-15T09:57:25;8422;25894
3;Marketing silver;2023-10-15T09:31:29;47841;63689;2023-10-15T15:34:20;2023-10-16T05:09:25;67287;38065
4;Street HTTP override;2023-10-15T13:26:59;51204;2081;2023-10-15T08:53:10;2023-10-16T04:00:51;30229;95779
5;Plastic;2023-10-15T21:08:28;88527;76898;2023-10-15T21:38:14;2023-10-15T07:46:10;11718;6192
6;Integration Avon;2023-10-15T13:45:14;31050;70695;2023-10-16T02:29:29;2023-10-16T04:17:19;21686;11681
7;monitor Algerian;2023-10-15T16:01:47;14009;62713;2023-10-16T02:16:48;2023-10-15T18:32:39;31661;46136
8;copying Account Supervisor;2023-10-15T05:49:21;61339;58406;2023-10-15T16:25:22;2023-10-15T18:20:19;69144;20137
9;whiteboard seize;2023-10-15T17:11:34;7068;91459;2023-10-15T19:40:29;2023-10-15T17:37:07;25527;70760
10;Account;2023-10-15T13:34:20;54556;32585;2023-10-15T20:20:05;2023-10-16T03:29:09;9683;54038
