id;project_name;start_date;end_date;order_quantity;estimated_budget;final_total
1;Forward driver Checking;2023-10-15T21:58:10;2023-10-16T01:34:43;6642;93635;62887
2;archive;2023-10-16T03:14:41;2023-10-15T11:12:16;35749;68589;92100
3;RAM;2023-10-15T21:51:30;2023-10-15T10:02:47;19511;37365;3984
4;Berkshire;2023-10-15T09:59:06;2023-10-16T05:18:12;2229;5897;92961
5;New indigo next;2023-10-15T13:48:21;2023-10-15T23:44:42;24107;52053;23926
6;Agent;2023-10-15T15:31:35;2023-10-15T06:49:49;21808;98479;86866
7;Future;2023-10-16T00:08:07;2023-10-15T20:28:42;28737;43695;47567
8;index models grey;2023-10-15T15:09:48;2023-10-15T18:03:34;88872;45010;76612
9;Cross-platform International;2023-10-15T15:38:18;2023-10-15T22:24:11;15156;50792;18669
10;compress Account;2023-10-15T16:10:24;2023-10-16T01:58:26;18523;71725;94030
