id;reference_number;total_po_amount;total_gst_amount;po_date;expected_delivery_date;order_status
1;Proactive granular Optional;84575;28823;2023-10-15T16:11:54;2023-10-15T11:39:58;REQUESTED
2;moderator exuding Automotive;32597;66630;2023-10-15T10:41:26;2023-10-16T00:08:46;CANCELED
3;Versatile;46359;290;2023-10-16T01:00:04;2023-10-15T17:02:05;REQUESTED
4;bus Lats revolutionize;32785;53599;2023-10-15T20:04:56;2023-10-15T11:18:29;COMPLETED
5;Pierre PNG;32359;90315;2023-10-15T08:19:02;2023-10-16T01:27:40;CANCELED
6;global Representative;99705;14077;2023-10-16T00:48:29;2023-10-16T01:21:18;COMPLETED
7;Savings clear-thinking;1215;95117;2023-10-15T23:55:56;2023-10-15T19:37:29;RECEIVED
8;View;73500;63277;2023-10-15T06:31:45;2023-10-15T22:14:32;COMPLETED
9;RAM;78841;71744;2023-10-15T10:33:13;2023-10-15T13:10:30;REQUESTED
10;e-services compelling;52643;10387;2023-10-15T22:18:55;2023-10-15T12:52:44;COMPLETED
