id;qty_required;request_date;expected_date;status
1;31032;2023-10-15T08:28:22;2023-10-15T21:44:15;REQUESTED
2;64307;2023-10-16T00:06:14;2023-10-15T14:01:36;RECEIVED
3;62872;2023-10-15T21:43:33;2023-10-15T11:25:09;CANCELED
4;69041;2023-10-15T12:47:59;2023-10-15T14:23:47;COMPLETED
5;42716;2023-10-16T03:50:26;2023-10-15T19:45:27;RECEIVED
6;7832;2023-10-15T22:38:43;2023-10-15T23:36:52;COMPLETED
7;16782;2023-10-15T18:17:39;2023-10-15T19:30:05;COMPLETED
8;1884;2023-10-15T14:03:31;2023-10-16T01:46:51;COMPLETED
9;88732;2023-10-15T22:01:34;2023-10-15T15:31:54;APPROVED
10;28804;2023-10-15T09:10:02;2023-10-15T13:35:58;CANCELED
