id;name;barcode;quantity;unit_price;unit_measure;gst_percentage;reorder_point
1;COM;bluetooth e-services;45661;86942;UNIT;82343;13801
2;Lebanon salmon;quantifying morph programming;38373;78305;KG;56875;52395
3;deliverables Computer;asymmetric;86163;98827;UNIT;25664;26672
4;Tasty Pa'anga Innovative;Frozen;94387;43841;METRE;15623;92290
5;De-engineered orchestrate;calculating scale;81299;52672;METRE;22147;1864
6;Chicken;Lock;3232;95982;METRE;91588;68044
7;Savings;Games;18345;95708;KG;14353;96880
8;teal solid;Ohio Wyoming;20359;76022;KG;37743;69811
9;Cambridgeshire interface synthesizing;Ergonomic;86249;91310;UNIT;58995;35441
10;turn-key;protocol Gloves Corner;96277;87163;METRE;83522;13932
