id;order_date;quantity_sold;unit_price;gst_percentage;total_revenue;status
1;2023-10-16T05:16:33;12876;38854;71824;1370;ORDERED
2;2023-10-15T20:06:40;66626;62270;14054;99145;SHIPPED
3;2023-10-15T05:34:44;89554;68118;18897;49854;DELIVERED
4;2023-10-15T23:51:14;74215;53366;36285;43614;ORDERED
5;2023-10-15T09:46:25;69881;69991;51332;82400;DELIVERED
6;2023-10-15T13:14:46;9114;68374;74602;62175;DELIVERED
7;2023-10-16T01:15:10;70713;43404;13659;42826;SHIPPED
8;2023-10-15T11:46:04;73430;60928;52564;30937;DELIVERED
9;2023-10-15T08:45:01;52327;53220;15268;69197;DELIVERED
10;2023-10-15T18:06:40;61936;40717;25477;6371;ORDERED
